district_name,fin_year,lgd_district_code,lgd_state_code,mnth,scheme_code,state_name,total_aadhar,total_beneficiaries,total_gen,total_mobileno,total_obc,total_sc,total_st
KULGAM,2024-2025,622,1,06,IGNOAPS,"JAMMU AND KASHMIR",4447,4450,4056,360,295,48,51
SHOPIAN,2024-2025,625,1,06,IGNOAPS,"JAMMU AND KASHMIR",1514,1514,1299,1081,0,0,215
BANKA,2024-2025,190,10,06,IGNOAPS,BIHAR,48604,63718,50483,53394,3816,8199,1220
BHOJPUR,2024-2025,193,10,06,IGNOAPS,BIHAR,61931,96521,44200,75108,30432,20679,1210
KATIHAR,2024-2025,201,10,06,IGNOAPS,BIHAR,65978,89328,82995,70833,2408,2842,1083
MADHUBANI,2024-2025,206,10,06,IGNOAPS,BIHAR,171212,237912,210999,186839,10708,15392,813
PURNIA,2024-2025,214,10,06,IGNOAPS,BIHAR,83661,115254,37450,92621,63282,9843,4679
VAISHALI,2024-2025,224,10,06,IGNOAPS,BIHAR,129350,168762,32305,145314,94046,41907,504
"WEST DISTRICT",2024-2025,228,11,06,IGNOAPS,SIKKIM,0,5061,1462,0,1270,222,2107
"PAPUM PARE",2024-2025,237,12,06,IGNOAPS,"ARUNACHAL PRADESH",2468,3230,0,0,0,0,3230
ANJAW,2024-2025,628,12,06,IGNOAPS,"ARUNACHAL PRADESH",650,986,1,0,0,0,985
NAMSAI,2024-2025,678,12,06,IGNOAPS,"ARUNACHAL PRADESH",435,1055,0,0,0,0,1055
KOHIMA,2024-2025,245,13,06,IGNOAPS,NAGALAND,1758,7103,0,94,0,0,7103
MOKOKCHUNG,2024-2025,246,13,06,IGNOAPS,NAGALAND,451,7294,0,192,0,3,7291
MON,2024-2025,247,13,06,IGNOAPS,NAGALAND,10,6594,0,0,0,15,6579
TUENSANG,2024-2025,249,13,06,IGNOAPS,NAGALAND,1,5999,4164,0,15,10,1810
WOKHA,2024-2025,250,13,06,IGNOAPS,NAGALAND,0,5839,0,0,0,16,5823
PEREN,2024-2025,613,13,06,IGNOAPS,NAGALAND,0,2180,0,0,0,0,2180
"IMPHAL WEST",2024-2025,256,14,06,IGNOAPS,MANIPUR,8776,10396,1994,2251,7638,563,201
THOUBAL,2024-2025,259,14,06,IGNOAPS,MANIPUR,5677,8388,6909,1101,1087,377,15
AIZAWL,2024-2025,261,15,06,IGNOAPS,MIZORAM,6930,8419,123,6018,7,2,8287
KOLASIB,2024-2025,263,15,06,IGNOAPS,MIZORAM,1258,1349,59,997,0,3,1287
HNAHTHIAL,2024-2025,726,15,06,IGNOAPS,MIZORAM,928,1022,61,796,1,0,960
KHAWZAWL,2024-2025,728,15,06,IGNOAPS,MIZORAM,579,741,1,679,0,2,738
"WEST TRIPURA",2024-2025,272,16,06,IGNOAPS,TRIPURA,13341,22303,8760,185,2831,2804,7908
"EAST GARO HILLS",2024-2025,273,17,06,IGNOAPS,MEGHALAYA,3100,3420,94,800,1,6,3319
"WEST JAINTIA HILLS",2024-2025,275,17,06,IGNOAPS,MEGHALAYA,2858,5113,581,268,8,8,4516
"SOUTH GARO HILLS",2024-2025,277,17,06,IGNOAPS,MEGHALAYA,787,4353,312,5,29,49,3962
"WEST GARO HILLS",2024-2025,278,17,06,IGNOAPS,MEGHALAYA,5245,8975,2952,704,152,121,5750
"WEST KHASI HILLS",2024-2025,279,17,06,IGNOAPS,MEGHALAYA,4705,7257,67,2422,4,3,7183
GOLAGHAT,2024-2025,288,18,06,IGNOAPS,ASSAM,15151,21266,17618,15325,2236,491,921
"KARBI ANGLONG",2024-2025,292,18,06,IGNOAPS,ASSAM,9579,15893,1877,8006,2986,1007,10023
UDALGURI,2024-2025,617,18,06,IGNOAPS,ASSAM,13622,16760,4206,12352,2966,2701,6887
"SOUTH SALMARA-MANCACHAR",2024-2025,707,18,06,IGNOAPS,ASSAM,7714,9884,9700,7500,38,108,38
BAJALI,2024-2025,739,18,06,IGNOAPS,ASSAM,5049,5755,5076,5733,288,243,148
"24 PARGANAS NORTH",2024-2025,303,19,06,IGNOAPS,"WEST BENGAL",119048,122925,87592,108415,2781,27788,4167
